Title;Count
 Das war mein Leben;1
 Das Zentrum;1
 Deepwater Horizon;1
 Denkzettel;1
 Der Adler;1
 Der Aufmacher: Der Mann der bei Bild Hans Esser war;1
 Der Baum der Erkenntnis;1
 Der Besuch;1
 Der Club Der Toten Dichter;1
 Der dunkle Grenzbezirk;1
 Der Gelbe Vogel;1
 Der goldene Handschuh;1
 Der Grossinquisitor;1
 Der Herr der Ringe - Die Gefährten;1
 Der Idiot;1
 Der lange Weg zur Freiheit;1
 Der Prozeß;1
 Der Salzpfad;1
 Der Schlüssel;1
 der Schreiber;1
 Der Tag  an dem Papa ein heikles Gespräch führen wollte;1
 DER WAL NIMMT EIN BAD;1
 Der Wüstenplanet;1
 Der Zauberberg;1
 DER ZAUBERSPIEGEL DES M.C. ESCHER;1
 designing with web standards;1
 Deutsch für Kenner;1
 Deutsche Götter- und Heldensagen;1
 Dictionary of the Khazars;1
 Die Botschaft der Baumfrau;1
 Die Brüder Löwenherz;1
 Die drei ??? und der Super-Papagei;1
 Die geheimnisvolle Flamme der Königin Loana;1
 Die Granulare Gesellschaft;1
 Die Känguru-Chroniken;1
 Die Kinder aus Bullerbü;1
 Die kleine Hexe;1
 Die Kunst des digitalen Lebens;1
 Die Kunst des Liebens;1
 Die Nebel von Avalon;1
 Die Päpstin;1
 Die Psycho-Historiker;1
 Die schönsten Sagen des klassischen Altertums;1
 DIE STRUDLHOFSTIEGE;1
 Die Tote im Götekanel;1
 Die vielköpfige Hydra;1
 DIE WELT ANDERS;1
 Die Zeit der Ashe;1
 Dinge geregelt kriegen ohne einen Funken Selbstdisziplin;1
 Dirk Gently's Holistic Detective Agency;1
 Disclosure;1
 DJs. Ping Meh;1
 Do Androids Dream of Electric Sheep?;1
 Doris Schattschneider and Wallace Walker;1
 Douglas Adams;1
 Dreizehn bei Tisch;1
 Drift;1
 Drohende Schatten;1
 Drop City;1
 Dune;1
 Dune Saga;1
 Early Writings;1
 East of Eden;1
 Egalias døtre;1
 Eigenblutdoping;1
 Ein Jahr im Forst;1
 Ein Jahrbuch nach seiner Art;1
 EIN KAMPF UM ROM;1
 Ein Sonntag im September;1
 Ein springender Brunnen;1
 Ein Typografisches Handbuch;1
 Eine Billion Dollar;1
 Eine Blume für Zehra;1
 Eine kurze Geschichte der Menschheit;1
 Erdsee;1
 Erich Kästner;1
 Erzählungen;1
 Essentials of Classic Italian Cooking;1
 Eureka Street;1
 Everything is Illuminated;1
 Evolution's Rainbow;1
 Exo Psychologie;1
 Exploring the World of Lucid Dreaming;1
 Failure Is Not an Option;1
 Fan Man;1
 Fantomas;1
 Fast alles was Recht ist Jura für Nicht-Juristen;1
 Ferien auf Onkel Titus;1
 Feuchtgebiete;1
 Fiesta: The Sun Also Rises;1
 Findet Mich Das Glück?;1
 Finn Family Moomintroll;1
 First Indian on the Moon;1
 Flaming Iguanas;1
 Flann O'Brien;1
 Flowers for Algernon;1
 Fool on the Hill;1
 For Whom the Bell Tolls;1
 Franziska Linkerhand;1
 FRAUEN;1
 Fred Beckey;1
 Frühstück bei Tiffany;1
 Geek Love;1
 Geocaching;1
 Ghost Twins: The Mystery at Kickingbird Lake;1
 Glas;1
 God's War;1
 Gödel Escher Bach;1
 Governing the Commons;1
 Gretchen Sackmeier;1
 Guards! Guards!;1
 Guns Germs and Steel;1
 ha én FELNŐTT volnék;1
 Haben oder Sein;1
 Harold and the Purple Crayon;1
 Hectors Reise;1
 Heimat muss man selber machen;1
 Herr Palomar;1
 High Fidelity;1
 His Dark Materials;1
 Ho-Ming Girl of New China;1
 Hogfather;1
 Hologrammatica;1
 Hottentotten Grüne Motten;1
 House of Leaves;1
 How to Talk So Kids Will Listen & Listen So Kids Will Talk;1
 Humiseva Hakiju;1
 I Claudius;1
 Ich  Eleanor Oliphant;1
 ILLUMINATUS! LEVIATHAN;1
 Illustrierte Weltgeschichte;1
 Im Anfang war der Wasserstoff;1
 Im Licht der Sterne;1
 Imagine;1
 Immortal;1
 Impro: Improvisation and the Theatre;1
 Infinite Jest;1
 Interview With The Vampire;1
 Into the Wild;1
 Into the Wilderness;1
 Istanbul;1
 IT;1
 It's Not That Radical;1
 Jahrestage Aus dem Leben von Gesine Cresspahl;1
 Jazz;1
 Jeeves;1
 Jennings and Darbishire;1
 Jochen Till;1
 John DeFrancis;1
 John Troirry;1
 Join the Club;1
 Jonathan B. Tucker;1
 Jonathan Livingston Seagull;1
 Journey to the Alcarria;1
 JR;1
 Juggling for the Complete Klutz;1
 Jumalainen näytelmä;1
 Just So Stories;1
 Karl Gabels sämtliche Weltraumabenteuer;1
 Kartoffelkäferzeiten;1
 Kathedrale;1
 Katzenaulge;1
 Keine Angst Maria;1
 Killing Floor;1
 Kim;1
 Kindertransport: Eine beispiellose Rettungsaktion;1
 Kleine Lichter;1
 Kleiner Mond voller Psychopathen;1
 Kochbuch für Geeks;1
 Komm süßer Tod;1
 L'amica geniale;1
 L'eternaute;1
 L'étranger;1
 L'Homme Qui Rit;1
 Larry Niven ;1
 Las venas abiertas de América Latina;1
 Laurus;1
 Lavondyss;1
 Leaves of Grass;1
 Les Miserables Die Elenden;1
 Let Us Now Praise Famous Men;1
 Liberty or Love;1
 Lieblose Legenden;1
 Light Thickens;1
 Lilith's Brood;1
 Linnéas Jahrbuch;1
 Living on the Earth;1
 Logicomix;1
 London Orbital;1
 Lorna Doone;1
 Lost At Sea;1
 Lost at Sea;1
 Lots More Tell Me Why;1
" Lustige Taschenbücher: ""Der Kolumbusfalter"" und andere Abenteuer";1
 M.D. Ph.D;1
 Mein allerschönstes Buch von Flugzeug;1
 Mencius;1
 Meru;1
 Metropol;1
 Michel aus Lönneberga;1
 Middlemarch;1
 Millennium;1
 Miss Manners' Guide to Excruciatingly Correct Behavior;1
 Mister Aufziehvogel;1
 Moby Dick;1
 Mond Mond Mond;1
 Mondscheintarif;1
 Mord inbegriffen;1
 More Happy Than Not;1
 Moving Parts;1
 My Family and Other Animals;1
 My Year of Rest and Relaxation;1
 Mythology;1
 N/A;1
 Nápokyi Johanna;1
 Nerd Attack!;1
 Never Cry Wolf;1
 Never Let Me Go;1
 New Cook Book;1
 Nightbook;1
 Nightfall;1
 Nineteen Seventy Four;1
 No Value;1
 No Value extraction possilbe;1
 No-Drama Discipline;1
 Noch sind die Gräber leer;1
